train.count:43787200|#timestamp:1605779573235
train.count:41921100|#timestamp:1605779573277
train.count:48618500|#timestamp:1605779573326
train.count:47920200|#timestamp:1605779573374
train.count:43278300|#timestamp:1605779573417
train.count:43738600|#timestamp:1605779573461
train.count:40149500|#timestamp:1605779573501
train.count:41890700|#timestamp:1605779573543
train.count:44043200|#timestamp:1605779573587
train.count:42627600|#timestamp:1605779573629
train.count:43762200|#timestamp:1605779573673
train.count:41203500|#timestamp:1605779573715
train.count:41512100|#timestamp:1605779573756
train.count:40724300|#timestamp:1605779573797
train.count:37174800|#timestamp:1605779573834
train.count:38797100|#timestamp:1605779573873
train.count:40340400|#timestamp:1605779573913
train.count:34752800|#timestamp:1605779573948
train.count:32784600|#timestamp:1605779573981
train.count:38148300|#timestamp:1605779574019
train.count:37692100|#timestamp:1605779574057
train.count:46016400|#timestamp:1605779574103
train.count:41570300|#timestamp:1605779574145
train.count:38885000|#timestamp:1605779574183
train.count:39431700|#timestamp:1605779574222
train.count:39701200|#timestamp:1605779574262
train.count:42681700|#timestamp:1605779574305
train.count:39528800|#timestamp:1605779574344
train.count:43517000|#timestamp:1605779574388
train.count:40815500|#timestamp:1605779574429
train.count:41795200|#timestamp:1605779574471
train.count:49310500|#timestamp:1605779574520
train.count:50685500|#timestamp:1605779574570
train.count:66229500|#timestamp:1605779574637
train.count:50882600|#timestamp:1605779574688
train.count:49755100|#timestamp:1605779574738
train.count:48483400|#timestamp:1605779574786
train.count:48711700|#timestamp:1605779574835
train.count:152982700|#timestamp:1605779574988
train.count:63570700|#timestamp:1605779575052
train.count:71493000|#timestamp:1605779575122
train.count:58439000|#timestamp:1605779575181
train.count:82826700|#timestamp:1605779575264
train.count:46317100|#timestamp:1605779575310
train.count:89214700|#timestamp:1605779575400
train.count:55195100|#timestamp:1605779575455
train.count:64685700|#timestamp:1605779575519
train.count:50910200|#timestamp:1605779575570
train.count:58330900|#timestamp:1605779575629
train.count:55444700|#timestamp:1605779575684
train.count:123165200|#timestamp:1605779575808
train.count:54468600|#timestamp:1605779575861
train.count:58973200|#timestamp:1605779575920
train.count:52029700|#timestamp:1605779575973
train.count:67106900|#timestamp:1605779576040
train.count:63269400|#timestamp:1605779576103
train.count:90297500|#timestamp:1605779576193
train.count:81418100|#timestamp:1605779576275
train.count:63517800|#timestamp:1605779576339
train.count:59971800|#timestamp:1605779576399
train.count:152850000|#timestamp:1605779576551
train.count:75027400|#timestamp:1605779576626
train.count:98169700|#timestamp:1605779576725
train.count:80727100|#timestamp:1605779576806
train.count:75299500|#timestamp:1605779576880
train.count:58032100|#timestamp:1605779576938
train.count:82393300|#timestamp:1605779577021
train.count:68608300|#timestamp:1605779577090
train.count:68725100|#timestamp:1605779577159
train.count:53459300|#timestamp:1605779577211
train.count:108164600|#timestamp:1605779577320
train.count:70984100|#timestamp:1605779577391
train.count:54091600|#timestamp:1605779577445
train.count:61228800|#timestamp:1605779577507
train.count:54533800|#timestamp:1605779577560
train.count:49068400|#timestamp:1605779577610
train.count:60174200|#timestamp:1605779577670
train.count:54528400|#timestamp:1605779577725
train.count:72207600|#timestamp:1605779577797
train.count:101927400|#timestamp:1605779577899
train.count:56733700|#timestamp:1605779577955
train.count:65382100|#timestamp:1605779578021
train.count:62249900|#timestamp:1605779578083
train.count:66996100|#timestamp:1605779578150
train.count:63847600|#timestamp:1605779578214
train.count:57296800|#timestamp:1605779578272
train.count:51600100|#timestamp:1605779578322
train.count:103533200|#timestamp:1605779578426
train.count:154753200|#timestamp:1605779578581
train.count:62247900|#timestamp:1605779578644
train.count:57757500|#timestamp:1605779578701
train.count:67328300|#timestamp:1605779578768
train.count:75056900|#timestamp:1605779578843
train.count:62523500|#timestamp:1605779578906
train.count:73230200|#timestamp:1605779578980
train.count:123979000|#timestamp:1605779579103
train.count:75737000|#timestamp:1605779579179
train.count:77339100|#timestamp:1605779579256
train.count:69217200|#timestamp:1605779579325
train.count:111813600|#timestamp:1605779579437
train.count:99256400|#timestamp:1605779579537
train.count:118374800|#timestamp:1605779579655
train.count:128159600|#timestamp:1605779579783
train.count:282101500|#timestamp:1605779580065
train.count:483322600|#timestamp:1605779580549
train.count:89548400|#timestamp:1605779580638
train.count:200748400|#timestamp:1605779580839
train.count:80878500|#timestamp:1605779580920
train.count:628675800|#timestamp:1605779581548
train.count:331569000|#timestamp:1605779581880
train.count:59121900|#timestamp:1605779581939
train.count:57064800|#timestamp:1605779581997
